building_type,material,age_years,area_m2,region,tilt_angle_deg,vibration_magnitude,shock_detected,temperature_c,humidity_pct,pressure_hpa,illuminance_lux,structural_status,climate_status,lighting_status,overall_status,_true_degradation_level
historical,brick,61,684.2,continental,3.73,0.291,False,15.61,60.16,1008.13,173.3,critical,normal,normal,critical,0.5731
commercial,mixed,28,1013.5,continental,1.107,0.0965,False,5.12,43.32,1010.9,499.3,critical,normal,attention,critical,0.3082
residential,concrete,17,3516.3,temperate,0.053,0.0049,False,20.23,62.19,1014.34,355.4,normal,normal,normal,normal,0.0406
commercial,wood,46,616.9,continental,2.749,0.23,False,17.03,64.74,1020.69,422.1,critical,normal,attention,critical,0.5223
residential,concrete,23,1503.3,continental,0.21,0.0337,False,15.48,46.94,1009.7,319.5,normal,normal,normal,normal,0.1301
residential,brick,37,1936.1,temperate,0.639,0.028,False,9.02,48.79,1015.4,319.7,attention,normal,normal,attention,0.2848
historical,wood,33,2306.1,temperate,1.408,0.0919,False,15.43,60.86,1009.82,251.7,critical,normal,normal,critical,0.3532
commercial,brick,30,765.4,temperate,0.0,0.0,False,6.74,53.2,1016.81,332.3,normal,normal,attention,attention,0.0418
historical,brick,85,2393.8,temperate,1.255,0.087,True,21.4,56.87,1013.94,167.1,critical,normal,normal,critical,0.346
commercial,concrete,49,4584.3,temperate,0.284,0.0953,False,20.03,66.21,1007.58,480.8,critical,normal,attention,critical,0.189
residential,mixed,52,4459.4,coastal,2.213,0.1679,False,23.53,81.57,1014.57,364.7,critical,critical,normal,critical,0.4282
residential,brick,95,4379.1,temperate,1.487,0.0994,False,14.02,72.63,1015.03,357.2,critical,attention,normal,critical,0.3555
residential,concrete,34,3591.3,arid,0.832,0.0625,False,29.3,26.63,1016.69,294.3,critical,normal,attention,critical,0.2867
commercial,brick,19,4668.5,arid,0.0,0.0095,False,19.17,7.82,1006.73,437.0,normal,normal,attention,attention,0.0
industrial,concrete,19,4344.1,continental,3.253,0.2428,False,44.86,51.18,1005.63,327.3,critical,attention,normal,critical,0.5597
residential,brick,73,621.7,temperate,1.88,0.1309,False,21.08,62.61,1013.93,354.3,critical,normal,normal,critical,0.4095
industrial,brick,23,293.8,temperate,0.543,0.0925,True,17.88,66.81,1002.53,336.4,critical,normal,normal,critical,0.254
historical,wood,47,2595.4,coastal,0.0,0.0053,False,16.14,67.62,1001.46,388.2,normal,attention,normal,attention,0.0
residential,brick,48,4585.9,continental,3.638,0.3381,False,19.94,56.5,1012.63,294.2,critical,normal,normal,critical,0.5699
residential,wood,29,468.2,coastal,0.442,0.0339,False,21.19,59.26,1007.81,352.6,normal,normal,normal,normal,0.2371
residential,concrete,21,2637.0,arid,1.023,0.0006,False,29.73,39.47,1002.09,379.5,critical,normal,normal,critical,0.2665
historical,wood,67,1852.8,temperate,1.904,0.1777,False,14.25,51.66,1021.89,184.2,critical,normal,normal,critical,0.4098
residential,concrete,62,4260.1,continental,0.278,0.0,True,25.71,35.56,1002.18,221.9,attention,normal,normal,attention,0.0581
residential,mixed,111,1455.3,arid,5.02,0.4227,False,29.24,30.3,1006.48,365.7,critical,normal,normal,critical,0.6741
industrial,concrete,26,4017.3,temperate,0.0,0.0225,False,16.19,68.28,1019.54,294.5,normal,normal,normal,normal,0.0
commercial,wood,58,1005.6,temperate,3.554,0.2222,True,8.76,59.16,1015.85,303.5,critical,normal,attention,critical,0.5474
residential,brick,15,2883.4,temperate,1.55,0.0838,False,13.01,62.65,1019.69,339.5,critical,normal,normal,critical,0.3815
residential,brick,30,3074.4,continental,0.948,0.0381,False,-3.41,49.6,1011.33,505.0,critical,normal,normal,critical,0.3123
commercial,concrete,30,3947.8,continental,0.029,0.0801,False,27.2,57.47,1015.73,445.5,critical,normal,attention,critical,0.0502
historical,brick,17,4217.9,temperate,0.198,0.0012,False,4.01,36.18,1010.99,130.4,normal,normal,attention,attention,0.1089
residential,concrete,14,3871.9,temperate,0.293,0.0333,False,14.48,60.64,1017.74,403.5,normal,normal,normal,normal,0.219
historical,mixed,11,2268.8,temperate,1.532,0.1287,False,12.83,54.22,1007.35,286.2,critical,normal,normal,critical,0.3708
residential,concrete,92,4225.8,continental,2.47,0.1958,True,-2.1,62.73,1020.65,380.8,critical,normal,normal,critical,0.4775
historical,wood,56,1735.9,continental,0.869,0.0781,False,10.61,63.82,1008.88,309.2,critical,normal,attention,critical,0.3019
industrial,concrete,50,3530.0,continental,0.323,0.0473,False,14.36,37.18,995.72,276.5,attention,normal,normal,attention,0.1056
residential,wood,14,4923.7,temperate,2.111,0.1503,False,11.88,62.05,1017.88,208.0,critical,normal,normal,critical,0.4631
historical,brick,22,233.0,temperate,0.811,0.0844,False,17.68,45.14,1008.16,307.1,critical,normal,normal,critical,0.2964
residential,concrete,29,196.6,continental,0.541,0.0,False,29.33,46.89,1035.39,195.1,normal,normal,normal,normal,0.175
residential,mixed,13,4046.8,coastal,0.223,0.0176,False,9.35,63.45,1012.99,497.8,normal,normal,normal,normal,0.1576
residential,brick,79,1749.3,continental,0.32,0.0,False,9.02,32.32,1001.35,388.6,normal,normal,normal,normal,0.1712
commercial,concrete,82,819.4,coastal,3.434,0.2813,False,22.08,80.55,1015.75,408.3,critical,attention,attention,critical,0.5536
industrial,wood,17,4779.0,continental,0.291,0.0,False,0.61,39.6,996.44,226.8,normal,normal,normal,normal,0.1161
residential,brick,12,1074.8,temperate,0.164,0.0049,False,8.79,53.67,1012.93,252.7,normal,normal,normal,normal,0.0779
residential,wood,12,2425.3,continental,1.638,0.1507,True,-3.43,54.51,1018.58,393.9,critical,normal,normal,critical,0.3808
industrial,brick,103,1246.1,continental,1.065,0.1105,False,31.57,49.03,1019.13,228.5,critical,normal,normal,critical,0.3495
industrial,concrete,58,3023.6,temperate,3.053,0.2544,True,4.3,54.61,1013.5,197.6,critical,normal,attention,critical,0.5171
commercial,concrete,50,3480.8,temperate,1.379,0.1245,True,25.79,58.9,1018.37,469.9,critical,normal,attention,critical,0.3784
commercial,concrete,66,3334.9,arid,2.012,0.1808,False,25.31,20.45,1005.77,477.6,critical,normal,attention,critical,0.4116
commercial,concrete,46,111.7,arid,1.628,0.1175,False,21.78,31.12,1011.22,358.8,critical,normal,attention,critical,0.3936
residential,mixed,106,4397.9,temperate,3.131,0.1557,False,24.37,56.38,1006.23,289.8,critical,normal,normal,critical,0.5177
residential,brick,56,3610.6,coastal,1.977,0.2491,False,14.46,66.29,1017.81,310.8,critical,normal,normal,critical,0.418
residential,concrete,37,4776.7,temperate,0.008,0.0039,False,19.99,51.33,1004.95,303.2,normal,normal,normal,normal,0.0396
residential,concrete,109,1299.6,temperate,3.036,0.25,False,8.33,49.32,1005.97,373.1,critical,normal,normal,critical,0.5257
commercial,brick,10,1303.6,temperate,0.815,0.0475,False,5.79,58.91,1015.34,438.2,attention,normal,attention,attention,0.2887
industrial,concrete,36,938.5,continental,1.608,0.1657,False,27.24,70.29,1019.24,149.5,critical,normal,critical,critical,0.3933
industrial,mixed,14,2706.0,continental,0.245,0.033,False,29.77,58.56,1017.48,207.9,normal,normal,normal,normal,0.1489
residential,brick,41,2032.2,continental,1.168,0.1401,False,-10.68,59.55,1018.61,257.0,critical,normal,normal,critical,0.3822
residential,wood,90,4622.7,continental,2.584,0.1662,False,1.09,55.27,1022.39,327.4,critical,normal,normal,critical,0.4852
residential,mixed,12,3018.5,continental,0.216,0.0425,False,14.49,35.16,1020.06,376.5,attention,normal,normal,attention,0.2012
industrial,concrete,17,3705.6,continental,0.666,0.0477,False,19.89,43.49,1014.53,266.8,attention,normal,normal,attention,0.2239
residential,brick,48,1666.4,temperate,0.541,0.0318,False,15.31,54.31,1011.36,399.6,attention,normal,normal,attention,0.2678
industrial,concrete,68,1312.8,continental,4.529,0.3542,False,15.82,56.27,1010.78,378.9,critical,normal,normal,critical,0.6289
industrial,mixed,15,1703.9,temperate,0.106,0.0,False,7.55,56.57,1011.78,495.6,normal,normal,normal,normal,0.047
residential,concrete,47,1133.3,arid,3.314,0.271,False,28.64,29.95,1017.23,334.2,critical,normal,normal,critical,0.5568
residential,mixed,12,4667.9,coastal,0.265,0.036,False,18.55,55.43,1009.55,226.5,attention,normal,normal,attention,0.1617
residential,concrete,41,4997.1,continental,4.114,0.3524,False,23.56,63.24,1019.91,391.6,critical,normal,normal,critical,0.606
historical,wood,16,4016.9,continental,0.146,0.0128,False,5.66,39.23,1017.82,286.0,attention,normal,normal,normal,0.1089
historical,brick,38,4311.0,arid,0.627,0.0999,False,35.31,27.87,1010.31,242.9,critical,normal,normal,critical,0.2576
residential,concrete,5,475.6,temperate,0.764,0.0543,False,16.64,64.33,1009.63,358.8,attention,normal,normal,attention,0.2354
industrial,mixed,14,3686.9,continental,0.369,0.0541,True,5.64,27.1,1005.81,290.6,attention,normal,normal,attention,0.0
historical,wood,21,1608.0,continental,0.12,0.0017,False,6.21,57.83,1017.92,238.7,normal,normal,normal,normal,0.0479
residential,mixed,34,3413.7,temperate,0.0,0.0,False,14.39,49.16,1009.1,293.0,normal,normal,normal,normal,0.0907
residential,brick,71,544.2,temperate,0.0,0.0,False,14.73,60.36,1020.74,412.6,normal,normal,normal,normal,0.125
residential,brick,22,4894.2,continental,0.558,0.0169,False,16.85,70.77,1019.95,452.2,normal,attention,normal,attention,0.2151
