building_type,material,age_years,area_m2,region,tilt_angle_deg,vibration_magnitude,shock_detected,temperature_c,humidity_pct,pressure_hpa,illuminance_lux,structural_status,climate_status,lighting_status,overall_status,_true_degradation_level
historical,brick,61,684.2,continental,3.73,0.291,False,15.61,60.16,1008.13,173.3,attention,normal,normal,attention,0.5731
commercial,mixed,28,1013.5,continental,1.107,0.0965,False,5.12,43.32,1010.9,499.3,normal,normal,normal,normal,0.3082
residential,concrete,17,3516.3,temperate,0.053,0.0049,False,20.23,62.19,1014.34,355.4,normal,normal,normal,normal,0.0406
commercial,wood,46,616.9,continental,2.749,0.23,False,17.03,64.74,1020.69,422.1,attention,attention,normal,attention,0.5223
residential,concrete,23,1503.3,continental,0.21,0.0337,False,15.48,46.94,1009.7,319.5,normal,normal,normal,normal,0.1301
residential,brick,37,1936.1,temperate,0.639,0.028,False,9.02,48.79,1015.4,319.7,normal,normal,normal,normal,0.2848
historical,wood,33,2306.1,temperate,1.408,0.0919,False,15.43,60.86,1009.82,251.7,normal,attention,normal,attention,0.3532
commercial,brick,30,765.4,temperate,0.0,0.0,False,6.74,53.2,1016.81,332.3,normal,normal,normal,normal,0.0418
historical,brick,85,2393.8,temperate,1.255,0.087,True,21.4,56.87,1013.94,167.1,attention,normal,normal,attention,0.346
commercial,concrete,49,4584.3,temperate,0.284,0.0953,False,20.03,66.21,1007.58,480.8,normal,normal,normal,normal,0.189
residential,mixed,52,4459.4,coastal,2.213,0.1679,False,23.53,81.57,1014.57,364.7,attention,critical,normal,critical,0.4282
residential,brick,95,4379.1,temperate,1.487,0.0994,False,14.02,72.63,1015.03,357.2,normal,attention,normal,attention,0.3555
residential,concrete,34,3591.3,arid,0.832,0.0625,False,29.3,26.63,1016.69,294.3,normal,normal,attention,normal,0.2867
commercial,brick,19,4668.5,arid,0.0,0.0095,False,19.17,7.82,1006.73,437.0,normal,normal,normal,normal,0.0
industrial,concrete,19,4344.1,continental,3.253,0.2428,False,44.86,51.18,1005.63,327.3,attention,attention,normal,attention,0.5597
residential,brick,73,621.7,temperate,1.88,0.1309,False,21.08,62.61,1013.93,354.3,attention,normal,normal,attention,0.4095
industrial,brick,23,293.8,temperate,0.543,0.0925,True,17.88,66.81,1002.53,336.4,attention,normal,normal,attention,0.254
historical,wood,47,2595.4,coastal,0.0,0.0053,False,16.14,67.62,1001.46,388.2,normal,attention,normal,attention,0.0
residential,brick,48,4585.9,continental,3.638,0.3381,False,19.94,56.5,1012.63,294.2,attention,normal,normal,attention,0.5699
residential,wood,29,468.2,coastal,0.442,0.0339,False,21.19,59.26,1007.81,352.6,normal,normal,normal,normal,0.2371
residential,concrete,21,2637.0,arid,1.023,0.0006,False,29.73,39.47,1002.09,379.5,normal,normal,normal,normal,0.2665
historical,wood,67,1852.8,temperate,1.904,0.1777,False,14.25,51.66,1021.89,184.2,attention,normal,normal,attention,0.4098
residential,concrete,62,4260.1,continental,0.278,0.0,True,25.71,35.56,1002.18,221.9,attention,normal,normal,attention,0.0581
residential,mixed,111,1455.3,arid,5.02,0.4227,False,29.24,30.3,1006.48,365.7,critical,normal,normal,critical,0.6741
industrial,concrete,26,4017.3,temperate,0.0,0.0225,False,16.19,68.28,1019.54,294.5,normal,normal,normal,normal,0.0
commercial,wood,58,1005.6,temperate,3.554,0.2222,True,8.76,59.16,1015.85,303.5,attention,normal,normal,attention,0.5474
